15,4.46,4.78,4.48,4.3
30,6.43,6.11,6.14,6.13
45,7.48,7.52,7.68,7.62
60,8.88,8.79,8.76,8.62
75,9.73,9.78,9.82,9.7
90,10.79,10.72,10.77,10.33
